date,strain_collection_id,strain_name,strain_id,query_name,query_id,control_query_id,plate,row,column,n,sd,mean,n_ctrl,sd_ctrl,mean_ctrl,growth_ratio,log2_fold_change,sd_log2_fold_change,z_score
4/26/20,MATa-deletion-384,cos111,rec3343,GAL1p-Orf8,pWJ2755,pWJ1781,3,6,13,4,0.059887367,0.851012401,4,0.045866475,0.92935233,0.915713882,-0.127031201,0.250512415,-0.577213457
4/26/20,MATa-deletion-384,gre1,rec1069,GAL1p-Orf8,pWJ2755,pWJ1781,2,15,23,4,0.180451197,1.034831682,4,0.121991062,1.129916896,0.915855051,-0.126808808,0.250512415,-0.576325704
4/26/20,MATa-deletion-384,mrc1,rec3467,GAL1p-Orf8,pWJ2755,pWJ1781,4,9,7,4,0.035865397,0.760686868,4,0.067146764,0.830554654,0.915888286,-0.126756456,0.250512415,-0.576116723
4/26/20,MATa-deletion-384,seg2,rec4955,GAL1p-Orf8,pWJ2755,pWJ1781,5,6,23,4,0.090457453,1.129900837,4,0.05146905,1.23328618,0.916177638,-0.126300744,0.250512415,-0.574297605
4/26/20,MATa-deletion-384,bdf2,rec3767,GAL1p-Orf8,pWJ2755,pWJ1781,12,13,22,4,0.062200517,0.906072965,4,0.175431774,0.988969244,0.916187588,-0.126285076,0.250512415,-0.574235062
4/26/20,MATa-deletion-384,mht1,rec1550,GAL1p-Orf8,pWJ2755,pWJ1781,1,4,13,4,0.045166018,0.969021889,4,0.080239878,1.057438739,0.916393748,-0.125960478,0.250512415,-0.572939326
4/26/20,MATa-deletion-384,aco2,rec7022,GAL1p-Orf8,pWJ2755,pWJ1781,11,9,5,4,0.068536144,0.832035492,4,0.04042889,0.90794746,0.916400881,-0.12594925,0.250512415,-0.572894503
4/26/20,MATa-deletion-384,ynl089c,rec2987,GAL1p-Orf8,pWJ2755,pWJ1781,11,14,13,4,0.055217191,0.84318879,4,0.110196812,0.920091184,0.916427808,-0.125906859,0.250512415,-0.572725286
4/26/20,MATa-deletion-384,mrp1,rec4184,GAL1p-Orf8,pWJ2755,pWJ1781,3,13,2,4,0.041190962,0.694553245,4,0.042518688,0.75788605,0.916445949,-0.1258783,0.250512415,-0.572611283
4/26/20,MATa-deletion-384,yor152c,rec2408,GAL1p-Orf8,pWJ2755,pWJ1781,5,1,13,4,0.178506851,1.408499876,4,0.189130213,1.536915404,0.916451372,-0.125869763,0.250512415,-0.572577206
4/26/20,MATa-deletion-384,rad30,rec4255,GAL1p-Orf8,pWJ2755,pWJ1781,3,5,9,4,0.075546781,0.978722452,4,0.033347005,1.067931101,0.916473734,-0.12583456,0.250512415,-0.572436683
4/26/20,MATa-deletion-384,ynr048w,rec5423,GAL1p-Orf8,pWJ2755,pWJ1781,14,13,2,4,0.051582471,0.989947093,4,0.117253131,1.080015477,0.916612264,-0.125616506,0.250512415,-0.57156625
4/26/20,MATa-deletion-384,ada2,rec4282,GAL1p-Orf8,pWJ2755,pWJ1781,12,3,7,4,0.078531044,0.523583659,4,0.134680337,0.571211074,0.916634883,-0.125580906,0.250512415,-0.571424143
4/26/20,MATa-deletion-384,yar037w,rec426,GAL1p-Orf8,pWJ2755,pWJ1781,1,12,10,4,0.058270091,1.06157094,4,0.064590432,1.1579545,0.916771136,-0.125366472,0.250512415,-0.570568161
4/26/20,MATa-deletion-384,mcm21,rec3677,GAL1p-Orf8,pWJ2755,pWJ1781,8,8,19,4,0.050950201,0.657467133,4,0.012624557,0.717070449,0.916891004,-0.125177852,0.250512415,-0.569815225
4/26/20,MATa-deletion-384,aro1,rec4061,GAL1p-Orf8,pWJ2755,pWJ1781,3,9,4,4,0.025749007,0.276260708,4,0.027816703,0.301302445,0.916915947,-0.125138606,0.250512415,-0.569658561
4/26/20,MATa-deletion-384,ymr245w,rec831,GAL1p-Orf8,pWJ2755,pWJ1781,1,15,11,4,0.058445716,0.930841138,4,0.053651953,1.015155694,0.916952392,-0.125081263,0.250512415,-0.569429658
4/26/20,MATa-deletion-384,csn9,rec3537,GAL1p-Orf8,pWJ2755,pWJ1781,6,7,22,4,0.0300552,1.043465631,4,0.017730075,1.13790288,0.91701493,-0.124982872,0.250512415,-0.569036899
4/26/20,MATa-deletion-384,pex7,rec4076,GAL1p-Orf8,pWJ2755,pWJ1781,3,11,8,4,0.052221747,0.87456041,4,0.042701636,0.953608086,0.917115439,-0.124824755,0.250512415,-0.568405723
4/26/20,MATa-deletion-384,yer097w,rec6403,GAL1p-Orf8,pWJ2755,pWJ1781,9,10,2,4,0.068969545,1.037448978,4,0.061517511,1.131092189,0.91721724,-0.124664622,0.250512415,-0.567766504
4/26/20,MATa-deletion-384,she1,rec3057,GAL1p-Orf8,pWJ2755,pWJ1781,7,3,20,4,0.021983222,0.804820462,4,0.091111557,0.877321369,0.917370479,-0.124423612,0.250512415,-0.566804435
4/26/20,MATa-deletion-384,hug1,rec7581,GAL1p-Orf8,pWJ2755,pWJ1781,14,8,5,4,0.039686225,1.071214489,4,0.07833911,1.167672845,0.917399727,-0.124377617,0.250512415,-0.566620829
4/26/20,MATa-deletion-384,hkr1,rec4256,GAL1p-Orf8,pWJ2755,pWJ1781,3,5,11,4,0.010791347,0.961258157,4,0.024177975,1.047728645,0.9174765,-0.124256889,0.250512415,-0.566138908
4/26/20,MATa-deletion-384,ypr197c,rec5612,GAL1p-Orf8,pWJ2755,pWJ1781,7,4,15,4,0.066942885,0.974740418,4,0.037064486,1.062281905,0.917598854,-0.124064506,0.250512415,-0.565370949
4/26/20,MATa-deletion-384,ygr146c-a,rec7502,GAL1p-Orf8,pWJ2755,pWJ1781,14,12,4,4,0.118062607,0.965337939,4,0.084680233,1.052032793,0.917600845,-0.124061375,0.250512415,-0.565358452
4/26/20,MATa-deletion-384,mrpl16,rec3064,GAL1p-Orf8,pWJ2755,pWJ1781,7,5,4,4,0.083203451,0.619084299,4,0.045871988,0.674597938,0.917720752,-0.123872864,0.250512415,-0.564605947
4/26/20,MATa-deletion-384,dug3,rec2021,GAL1p-Orf8,pWJ2755,pWJ1781,7,15,13,4,0.061152186,1.03736127,4,0.103844717,1.13037092,0.917724863,-0.123866402,0.250512415,-0.564580153
4/26/20,MATa-deletion-384,dak2,rec5674,GAL1p-Orf8,pWJ2755,pWJ1781,8,11,4,4,0.034905396,1.061110033,4,0.119480426,1.156116882,0.917829561,-0.123701822,0.250512415,-0.563923179
4/26/20,MATa-deletion-384,erv46,rec363,GAL1p-Orf8,pWJ2755,pWJ1781,1,4,16,4,0.062859498,0.880980301,4,0.057892044,0.959841007,0.917848383,-0.123672237,0.250512415,-0.563805084
4/26/20,MATa-deletion-384,atg33,rec5265,GAL1p-Orf8,pWJ2755,pWJ1781,6,2,5,4,0.0485993,1.029914368,4,0.072723933,1.122103446,0.917849942,-0.123669785,0.250512415,-0.563795296
4/26/20,MATa-deletion-384,yml082w,rec488,GAL1p-Orf8,pWJ2755,pWJ1781,1,3,6,4,0.055025189,0.992805001,4,0.030004875,1.08117289,0.918274203,-0.123003078,0.250512415,-0.561133922
4/26/20,MATa-deletion-384,imh1,rec5217,GAL1p-Orf8,pWJ2755,pWJ1781,6,3,2,4,0.036496568,1.207954012,4,0.092541406,1.315244271,0.918431804,-0.122755494,0.250512415,-0.560145609
4/26/20,MATa-deletion-384,tfs1,rec4127,GAL1p-Orf8,pWJ2755,pWJ1781,5,4,12,4,0.089315784,0.825066963,4,0.116538647,0.898287361,0.918497965,-0.12265157,0.250512415,-0.559730763
4/26/20,MATa-deletion-384,cox7,rec842,GAL1p-Orf8,pWJ2755,pWJ1781,2,2,12,4,0.101253181,0.731032605,4,0.006362132,0.795900213,0.918508052,-0.122635726,0.250512415,-0.559667518
4/26/20,MATa-deletion-384,nrp1,rec3865,GAL1p-Orf8,pWJ2755,pWJ1781,13,13,6,4,0.032601933,0.733872318,4,0.080352334,0.798890567,0.91862451,-0.122452818,0.250512415,-0.558937382
4/26/20,MATa-deletion-384,ydl187c,rec3885,GAL1p-Orf8,pWJ2755,pWJ1781,10,15,7,4,0.069008971,1.032371266,4,0.04194506,1.123766993,0.918677453,-0.122369674,0.250512415,-0.558605488
4/26/20,MATa-deletion-384,mch2,rec5070,GAL1p-Orf8,pWJ2755,pWJ1781,8,8,4,4,0.102953167,0.90074368,4,0.077194437,0.980422871,0.91873806,-0.122274499,0.250512415,-0.558225566
4/26/20,MATa-deletion-384,yjl016w,rec6785,GAL1p-Orf8,pWJ2755,pWJ1781,10,13,4,4,0.099743619,1.049938461,4,0.083892749,1.142788564,0.918758394,-0.12224257,0.250512415,-0.558098111
4/26/20,MATa-deletion-384,ioc2,rec2706,GAL1p-Orf8,pWJ2755,pWJ1781,1,14,17,4,0.080511994,0.849803173,4,0.093855758,0.924884095,0.91883004,-0.12213007,0.250512415,-0.557649032
4/26/20,MATa-deletion-384,are2,rec5394,GAL1p-Orf8,pWJ2755,pWJ1781,14,9,8,4,0.110192426,0.823213223,4,0.115039974,0.895842827,0.918935001,-0.121965275,0.250512415,-0.556991202
4/26/20,MATa-deletion-384,ydr149c,rec3507,GAL1p-Orf8,pWJ2755,pWJ1781,6,5,4,4,0.012950488,0.405092271,4,0.030222681,0.440784127,0.919044814,-0.121792884,0.250512415,-0.556303047
4/26/20,MATa-deletion-384,ylr001c,rec1556,GAL1p-Orf8,pWJ2755,pWJ1781,1,4,17,4,0.031247447,0.908622874,4,0.089726263,0.988547118,0.919157966,-0.121615271,0.250512415,-0.55559405
4/26/20,MATa-deletion-384,rtc4,rec1190,GAL1p-Orf8,pWJ2755,pWJ1781,2,4,5,4,0.03606712,0.955242658,4,0.061833843,1.039265187,0.919159763,-0.121612451,0.250512415,-0.555582792
4/26/20,MATa-deletion-384,yal042c-a,rec364,GAL1p-Orf8,pWJ2755,pWJ1781,1,4,18,4,0.147791387,1.054123171,4,0.110580999,1.146840884,0.919160862,-0.121610727,0.250512415,-0.555575907
4/26/20,MATa-deletion-384,yor248w,rec2504,GAL1p-Orf8,pWJ2755,pWJ1781,5,13,17,4,0.006982854,0.982938755,4,0.014962798,1.069338692,0.919210014,-0.12153358,0.250512415,-0.555267953
4/26/20,MATa-deletion-384,aad4,rec3940,GAL1p-Orf8,pWJ2755,pWJ1781,10,14,9,4,0.086258723,0.951599008,4,0.074189492,1.035185054,0.919262771,-0.12145078,0.250512415,-0.55493743
4/26/20,MATa-deletion-384,lin1,rec2850,GAL1p-Orf8,pWJ2755,pWJ1781,4,13,16,4,0.055228549,0.971821692,4,0.058492649,1.057113937,0.919323571,-0.121355364,0.250512415,-0.554556548
4/26/20,MATa-deletion-384,mxr2,rec3440,GAL1p-Orf8,pWJ2755,pWJ1781,4,5,19,4,0.054894256,0.950222715,4,0.100893906,1.033502584,0.919427572,-0.121192164,0.250512415,-0.553905082
4/26/20,MATa-deletion-384,mad3,rec6781,GAL1p-Orf8,pWJ2755,pWJ1781,13,11,8,4,0.152419162,1.221665558,4,0.038793176,1.328726681,0.919431838,-0.12118547,0.250512415,-0.553878362
4/26/20,MATa-deletion-384,mct1,rec2477,GAL1p-Orf8,pWJ2755,pWJ1781,5,9,19,4,0.044434696,0.48762061,4,0.027161427,0.530320454,0.919498118,-0.121081473,0.250512415,-0.553463224
4/26/20,MATa-deletion-384,shu2,rec4013,GAL1p-Orf8,pWJ2755,pWJ1781,3,1,18,4,0.114490973,1.646764174,4,0.165106119,1.790862806,0.919541248,-0.121013803,0.250512415,-0.553193099
4/26/20,MATa-deletion-384,rpl22a,rec2672,GAL1p-Orf8,pWJ2755,pWJ1781,1,10,11,4,0.030412481,0.28332305,4,0.032707746,0.308065043,0.919711877,-0.120746123,0.250512415,-0.552124569
4/26/20,MATa-deletion-384,kar3,rec5556,GAL1p-Orf8,pWJ2755,pWJ1781,7,14,14,4,0.082115113,0.949421995,4,0.087821269,1.03226761,0.919751827,-0.120683458,0.250512415,-0.551874419
4/26/20,MATa-deletion-384,iah1,rec2382,GAL1p-Orf8,pWJ2755,pWJ1781,5,15,2,4,0.054806155,1.316793486,4,0.106338466,1.431667559,0.919767652,-0.120658635,0.250512415,-0.551775332
4/26/20,MATa-deletion-384,epo1,rec6565,GAL1p-Orf8,pWJ2755,pWJ1781,9,14,7,4,0.072156413,0.854619666,4,0.055351729,0.92902196,0.919921929,-0.120416665,0.250512415,-0.550809431
4/26/20,MATa-deletion-384,end3,rec2992,GAL1p-Orf8,pWJ2755,pWJ1781,13,13,16,4,0.066309116,1.062994271,4,0.07138208,1.155273078,0.920130728,-0.120089248,0.250512415,-0.549502443
4/26/20,MATa-deletion-384,ups2,rec4117,GAL1p-Orf8,pWJ2755,pWJ1781,5,2,16,4,0.029466843,0.878467842,4,0.075900479,0.954707135,0.920152153,-0.120055655,0.250512415,-0.549368343
